"Date","Video Views","Profile Views","Likes","Comments","Shares"
"August 11","0","0","0","0","0"
"August 12","0","0","0","0","0"
"August 13","0","0","0","0","0"
"August 14","0","0","0","0","0"
"August 15","0","0","0","0","0"
"August 16","0","0","0","0","0"
"August 17","0","0","0","0","0"
"August 18","0","0","0","0","0"
"August 19","0","0","0","0","0"
"August 20","0","0","0","0","0"
"August 21","0","0","0","0","0"
"August 22","0","0","0","0","0"
"August 23","0","0","0","0","0"
"August 24","0","0","0","0","0"
"August 25","0","0","0","0","0"
"August 26","0","0","0","0","0"
"August 27","0","0","0","0","0"
"August 28","0","0","0","0","0"
"August 29","0","0","0","0","0"
"August 30","0","0","0","0","0"
"August 31","531","3","24","0","0"
"September 1","388","3","23","0","1"
"September 2","853","2","17","0","3"
"September 3","12","0","2","0","0"
"September 4","0","0","0","0","0"
"September 5","4","1","0","0","0"
"September 6","0","0","0","0","0"
"September 7","0","0","0","0","0"
"September 8","2","0","0","0","0"
"September 9","3","0","0","0","0"
"September 10","0","0","0","0","0"
"September 11","2","0","0","0","0"
"September 12","4","0","0","0","0"
"September 13","4","0","0","0","0"
"September 14","2","0","0","0","0"
"September 15","0","0","0","0","0"
"September 16","0","0","0","0","0"
"September 17","0","0","0","0","0"
"September 18","0","0","0","0","0"
"September 19","0","0","0","0","0"
"September 20","0","0","0","0","0"
"September 21","0","0","0","0","0"
"September 22","836","1","54","0","0"
"September 23","198","0","3","0","0"
"September 24","1725","14","210","3","6"
"September 25","53483","382","7955","55","202"
"September 26","16695","129","2210","19","62"
"September 27","40947","224","5813","54","213"
"September 28","58122","368","9059","110","347"
"September 29","43899","342","5202","89","227"
"September 30","21604","150","2489","51","81"
"October 1","40157","232","6015","28","156"
"October 2","59794","462","8404","74","311"
"October 3","493567","3105","63062","351","1928"
"October 4","255368","1523","26009","177","783"
"October 5","88584","582","9081","53","303"
"October 6","26676","185","2701","20","132"
"October 7","15620","113","1573","19","79"
"October 8","74619","418","10569","41","1594"
"October 9","98987","543","13538","86","1532"
"October 10","155815","714","18010","127","1466"
"October 11","118779","561","13046","69","836"
"October 12","60938","315","5471","27","265"
"October 13","32049","176","2921","12","125"
"October 14","25960","152","2333","12","108"
"October 15","54867","354","5233","18","201"
"October 16","45728","279","3658","28","170"
"October 17","27929","173","2278","11","83"
"October 18","22002","138","1791","17","90"
"October 19","21852","138","1679","18","82"
"October 20","30467","181","2497","20","111"
"October 21","18908","169","1630","25","70"
"October 22","23360","165","2153","35","117"
"October 23","18405","156","1733","14","62"
"October 24","15606","111","1311","13","45"
"October 25","16330","86","1332","8","48"
"October 26","18249","93","1300","-25","51"
"October 27","25239","137","1861","26","81"
