date,sales,orders
2025-12-21,8.30,2
2025-12-22,26.68,11
2025-12-23,48.31,22
2025-12-24,44.84,14
2025-12-25,63.07,14
2025-12-26,48.31,10
2025-12-27,39.45,10
2025-12-28,60.96,14
2025-12-29,16.02,7
2025-12-31,3.96,1
2026-01-05,3.39,2
2026-01-09,17.80,3
2026-01-10,10.34,4
2026-01-11,5.90,2
2026-01-19,0.74,1
2026-01-20,0.74,1
2026-01-21,0.74,1
2026-01-30,11.67,6
2026-01-31,8.76,3
2026-02-02,6.55,2
2026-02-03,12.25,3
2026-02-05,13.70,2
2026-02-09,5.49,2
2026-02-10,10.81,3
2026-02-11,9.00,2
2026-02-12,4.67,3
2026-02-13,18.01,8
2026-02-17,18.00,1
2026-02-19,10.16,2
2026-02-20,12.90,1
2026-02-21,5.21,3
2026-02-22,4.50,1
2026-02-23,8.00,2
2026-02-24,11.32,9
2026-02-25,12.02,2
2026-02-26,12.84,2
2026-02-28,14.12,3
2026-03-01,2.69,1
2026-03-02,14.74,3
2026-03-03,18.60,2
2026-03-04,26.00,2
2026-03-05,7.40,2
2026-03-06,4.29,2
2026-03-07,10.50,3
2026-03-08,26.22,4
2026-03-10,6.01,2
2026-03-11,3.50,1
2026-03-12,12.92,3
2026-03-13,0.50,1
2026-03-14,10.75,5
2026-03-15,10.25,4
2026-03-17,2.50,5
2026-03-18,8.47,4
2026-03-19,26.69,10
2026-03-20,19.00,10
2026-03-21,6.40,4
2026-03-22,21.49,4
2026-03-23,1.00,2
2026-03-24,0.50,1
2026-03-25,1.00,2
2026-03-26,0.50,1
2026-03-27,1.50,3
2026-03-28,1.00,2
2026-03-30,20.49,2
2026-03-31,0.50,1
2026-04-01,3.50,2
2026-04-02,1.00,2
2026-04-03,1.50,3
2026-04-05,0.50,1
2026-04-06,1.50,3
2026-04-10,0.50,1
2026-04-12,0.50,1
2026-04-17,0.50,1
2026-04-19,34.80,2
2026-04-21,1.00,2
2026-04-24,0.50,1
